Course_number,Course_title,Units,Type,Time,Days,Instructor,Department,Rating_Class,Overall_Rating
MATH-410,"Fundamental Concepts of Modern Algebra","4.0 units",Lecture,10:00-10:50am,MWF,"Greta Panova",Mathematics,zero,N/A
MATH-430,"Theory of Numbers","4.0 units",Lecture,12:00-12:50pm,MWF,"Fedor Malikov",Mathematics,average,2.6
MATH-445,"Mathematics of Physics and Engineering II","4.0 units",Lecture,12:00-12:50pm,MWF,"Robert Sacker",Mathematics,poor,2.0
MATH-467,"Theory and Computational Methods for Optimization","4.0 units",Lecture,1:00-1:50pm,MWF,"Ricardo Mancera",Mathematics,average,3.0
MATH-547,"Mathematical Foundations of Statistical Learning Theory","3.0 units",Lecture,10:00-10:50am,MWF,"Mohamed Ndaoud",Mathematics,good,4.3
MATH-580,"Introduction to Functional Analysis","3.0 units",Lecture,9:00-9:50am,MWF,"Wojciech Ozanski",Mathematics,good,3.5
MBPH-790,Research,"1.0-12.0 units, max 12",Lecture,TBA,TBA,"Ralf Langen",Medicine,zero,N/A
MBPH-794a,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Ralf Langen",Medicine,zero,N/A
MBPH-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Ralf Langen",Medicine,zero,N/A
MBPH-794c,"Doctoral dissertation","2.0 units",Lecture,TBA,TBA,"Ralf Langen",Medicine,zero,N/A
MBPH-794d,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Ralf Langen",Medicine,zero,N/A
MBPH-794z,"Doctoral Dissertation","0.0 units",Lecture,TBA,TBA,"Ralf Langen",Medicine,zero,N/A
MEDS-315,"Human Anatomy, Physiology, and the Technology of Medicine","2.0 units",Lecture,10:00-11:50am,Monday,"Emily Rose",Medicine,good,5.0
MEDS-340,"The Brain in Health and Disease","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Susie Kim",Medicine,zero,N/A
MEDS-350,"Neurochemistry of Addiction: Drugs, Brain, and Behavior","2.0 units",Lecture,12:00-1:50pm,Tuesday,"Susie Kim",Medicine,zero,N/A
MEDS-355,"Skeletal Biology and Pathology: No Bones About It","2.0 units",Lecture,12:00-1:50pm,Monday,"Susie Kim",Medicine,zero,N/A
MEDS-425,"Medical Examiner-Coroner: Investigating Death","2.0 units",Lecture,2:00-3:50pm,Wednesday,"Lakshmanan Sathyavagiswaran",Medicine,good,5.0
MEDS-440,"Introduction to Surgical Principles","2.0 units",Lecture,12:00-1:50pm,Wednesday,"Susie Kim",Medicine,zero,N/A
MKT-425,"Marketing in a Digital World","4.0 units",Lecture,6:00-7:50pm,"Tue, Thu","Konrad Ribeiro",Marketing,zero,N/A
MOR-554,"Leading Innovation and Change","3.0 units",Lecture,6:30-9:30pm,Thursday,"Michael Mische",Management,good,4.0
MOR-557,"Strategy and Organization Consulting","3.0 units",Lecture,5:00-6:20pm,"Mon, Wed","Michael Mische",Management,good,4.0
MOR-559,"Strategic Renewal and Transformation","3.0 units",Lecture,6:30-9:30pm,Monday,"Michael Mische",Management,good,4.0
MOR-574b,"Leading and Coaching: Foundations and Practicum","1.5 units",Lecture,12:30-1:50pm,Tuesday,"Michael McGrath",Business,good,4.0
MPGU-120b,"Beginning Pop/Rock Guitar","2.0 units",Lecture,4:00-5:50pm,Tuesday,"Nick Stoubis",Music,good,4.7
MPKS-260a,"Functional Skills for Keyboard Majors II","2.0 units",Lecture,2:00-2:50pm,"Mon, Wed","Sung-Hwa Park",Music,good,4.5
MPKS-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Alan Smith",Cinema,zero,N/A
MPST-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Ralph Kirshbaum",Music,zero,N/A
MTEC-237a,"Music Production II","2.0 units",Lecture,2:00-3:50pm,Thursday,"Rick Schmunk",Music,good,4.6
MTEC-337a,"Music Production III","2.0 units",Lecture,4:00-5:50pm,Thursday,"Brian Malouf",Music,zero,N/A
MTEC-378,"Introduction to Mixing and Mastering","2.0 units",Lecture,2:00-3:50pm,Monday,"Timo Preece",Music,average,3.4
MTEC-474b,"Electronic Synthesizer Techniques","2.0-4.0 units",Lecture,4:00-5:50pm,Monday,"Timo Preece",Music,average,3.4
MTEC-478,"Advanced Multichannel Remix","2.0 units",Lecture,4:00-5:50pm,Tuesday,"Brian Malouf",Music,zero,N/A
MTEC-479,"Audio Mastering","2.0 units",Lecture,7:00-8:50pm,Thursday,"Brian Malouf",Music,zero,N/A
MUCD-541,"Choral Conducting III","2.0 units, max 6",Lecture,9:00-10:50am,"Mon, Wed","Tram Sparks",Music,zero,N/A
MUCD-641,"Choral Conducting IV","2.0 units, max 8",Lecture,9:00-10:50am,"Mon, Wed","Tram Sparks",Music,zero,N/A
MUCO-233a,"Theory II","3.0 units",Lecture,10:00-11:50am,"Tue, Thu","Chris Roze",Music,good,4.1
MUCO-533a,"Analytical Approaches to Tonal Music","2.0 units",Lecture,12:00-1:50pm,Monday,"Chris Roze",Music,good,4.1
MUEN-520,"USC Symphony","1.0 units, max 4",Lecture,2:00-4:50pm,MWF,"Sharon Lavery",Music,good,4.9
MUEN-523,"University Wind Ensemble","1.0 units, max 4",Lecture,2:00-4:50pm,MWF,"Sharon Lavery",Music,good,4.9
MUHL-588,"Special Studies in Music Since 1900","2.0 units, max 6",Lecture,4:00-5:50pm,Thursday,"Sean Nye",Music,good,3.7
MUHL-681,"Studies in Musicology","4.0 units, max 16",Lecture,5:00-7:50pm,Tuesday,"Scott Spencer",Music,good,4.6
MUJZ-218b,"Afro-Latin Percussion Instruments","2.0 units",Lecture,10:00-11:50am,Friday,"Aaron Serfaty",Music,good,5.0
MUSC-355,"Songwriting II","2.0 units",Lecture,4:00-5:50pm,Tuesday,"Andrea Stolpe",Music,good,4.8
MUSC-455,"Songwriting III: The Performing Songwriter","2.0 units",Lecture,7:00-8:50pm,Wednesday,"Christopher Sampson",Music,good,5.0
MUSC-496,"Careers in Music","2.0 units",Lecture,12:00-1:50pm,Thursday,"Christopher Sampson",Music,good,5.0
OT-590,"Directed Research","1.0-12.0 units",Lecture,TBA,TBA,"Tessa Milman","Occupational Therapy",good,4.8
OT-620,"Current Issues in Occupational Science and Occupational Therapy","4.0 units",Lecture,9:00-1:10pm,Friday,"Tessa Milman","Occupational Therapy",good,4.8
OT-660,"Research Practicum","2.0 units",Lecture,TBA,TBA,"Shawn Roll","Occupational Therapy",good,4.8
PHED-120b,Yoga,"1.0 unit",Lecture,11:00-11:50am,"Mon, Wed","Isabelle Pilliere Mazumdar","Physical Education",good,5.0
PHIL-472,"Moral Philosophy","4.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Jonathan Quong",Philosophy,average,3.4
PHIL-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Scott Soames",Philosophy,good,3.5
PHIL-494,"Senior Thesis","4.0 units",Lecture,TBA,TBA,"Janet Levin","Arts & Letters",good,3.5
PHIL-593x,"Teaching Philosophy","2.0 units",Lecture,12:00-2:20pm,Friday,"Shieva Kleinschmidt",Philosophy,good,3.8
PHIL-594a,"Master's Thesis","2.0 units",Lecture,TBA,TBA,"Jacob Nebel",Philosophy,good,3.5
PHYS-135aLg,"Physics for the Life Sciences","4.0 units",Lecture,8:30-9:50am,"Mon, Wed","Dennis Nemeschansky",Physics,average,3.2
PHYS-135aLg,"Physics for the Life Sciences","4.0 units",Lecture,8:30-9:50am,"Mon, Wed","Dennis Nemeschansky",Physics,average,3.2
PHYS-135aLg,"Physics for the Life Sciences","4.0 units",Lecture,8:30-9:50am,"Mon, Wed","Dennis Nemeschansky",Physics,average,3.2
PHYS-151Lg,"Fundamentals of Physics I: Mechanics and Thermodynamics","4.0 units",Lecture,10:00-10:50am,MWF,"Vahe Peroomian",Science,good,4.7
PHYS-151Lg,"Fundamentals of Physics I: Mechanics and Thermodynamics","4.0 units",Lecture,10:00-10:50am,MWF,"Vahe Peroomian",Science,good,4.7
PHYS-151Lg,"Fundamentals of Physics I: Mechanics and Thermodynamics","4.0 units",Lecture,10:00-10:50am,MWF,"Vahe Peroomian",Science,good,4.7
PHYS-152L,"Fundamentals of Physics II: Electricity and Magnetism","4.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Nicolas Moure","Physics & Astronomy",good,3.8
PHYS-438b,"Introduction to Quantum Mechanics and its Applications","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Eli Levenson-Falk","Physics  Astronomy",average,2.6
PLUS-664,"Urban Political Economy and Urban Development","2.0 units",Lecture,5:30-6:30pm,Monday,"Nicole Kuklok-Waldman","Policy Planning & Development",good,5.0
PLUS-670,"Communicating Data for Planning and Development","1.0 unit",Lecture,TBA,TBA,"Dowell Myers","Policy Planning & Development",average,3.3
POIR-555,"Democracy and Democratization in Comparative Perspective","4.0 units",Lecture,5:00-7:50pm,Wednesday,"Gerardo Munck","International Studies",good,4.3
POIR-662,"Governance in International Relations","4.0 units",Lecture,2:00-4:50pm,Monday,"Wayne Sandholtz","International Relations",good,4.8
POSC-270,"Introduction to Environmental Law and Politics","4.0 units",Lecture,4:00-6:50pm,Wednesday,"Darry Sragow","Political Science",good,5.0
PPD-300,"Social Justice Issues in Public Policy and Urban Planning .","4.0 units",Lecture,4:00-5:50pm,"Tue, Thu","Lavonna Lewis","Policy Planning & Development",good,4.5
PPD-313,"Finance of the Public Sector","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Mark Phillips","Policy Planning  Development",good,4.0
PPD-373,"Public Policy and Planning Analysis","4.0 units",Lecture,8:00-9:50am,"Tue, Thu","Gary Painter",Economics,zero,N/A
PPD-400,"Topics in Public Policy and Urban Studies","4.0 units",Lecture,6:00-9:20pm,Wednesday,"Alison Linder","Policy Planning & Development",zero,N/A
PPD-710a,"Research Seminar","2.0 units",Lecture,10:00-11:50am,Wednesday,"Dowell Myers","Policy Planning & Development",average,3.3
PPD-712,"Seminar in Public Policy","4.0 units",Lecture,2:00-5:20pm,Tuesday,"Pamela Mccann","Policy Planning & Development",good,5.0
PPD-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Juliet Musso","Policy Planning & Development",good,4.3
PPD-794c,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Juliet Musso","Policy Planning & Development",good,4.3
PPD-794d,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Juliet Musso","Policy Planning & Development",good,4.3
PPD-794z,"Doctoral Dissertation","0.0 units",Lecture,TBA,TBA,"Juliet Musso","Policy Planning & Development",good,4.3
PR-351b,"Strategic Public Relations Media and Content","4.0 units",Lecture,6:00-9:20pm,Tuesday,"Darryl Ryan",Communication,good,5.0
PR-352,"Public Relations Media and Content for Non-Majors","4.0 units",Lecture,2:00-5:20pm,Thursday,"Stefan Pollack",Journalism,good,4.5
PSYC-361,"Introduction to Clinical Psychology","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Lauren Shapiro",Psychology,zero,N/A
PSYC-363,"Criminal Behavior","4.0 units",Lecture,3:30-6:50pm,Thursday,"Craig Lareau",Law,good,5.0
PSYC-406,Psycholinguistics,"4.0 units",Lecture,11:00-12:30pm,"Tue, Thu","Elsi Kaiser",Linguistics,good,5.0
PSYC-426,"Motivated Behaviors and Addiction","4.0 units",Lecture,8:00-9:50am,"Tue, Thu","John Monterosso",Psychology,good,4.2
PSYC-505,"Research Methods in Applied Social Psychology","4.0 units",Lecture,TBA,TBA,"Meredith Lepley",Psychology,zero,N/A
PSYC-592,"Applied Psychology Treatise","2.0 units",Lecture,TBA,TBA,"Meredith Lepley",Psychology,zero,N/A
RED-325,"Introduction to Finance in Cities","4.0 units",Lecture,4:00-5:50pm,"Mon, Wed","John Loper","Policy Planning  Development",good,4.0
RED-417,"History of Planning and Development","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Cara Mullio","Policy Planning & Development",good,4.0
RED-511,"Foundations of Real Estate Analysis","4.0 units",Lecture,6:00-9:20pm,Monday,"John Loper","Policy Planning  Development",good,4.0
SOCI-310,"Gender and Social Justice","4.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Lisa Schweitzer","Policy Planning & Development",average,3.5
SOCI-325,"Applied Social Research Methods","4.0 units",Lecture,5:00-6:20pm,"Tue, Thu","Leland Saito",Sociology,good,4.2
SOCI-335,"Society and Population","4.0 units",Lecture,3:30-4:50pm,"Mon, Wed","Emily Smith-Greenaway",Sociology,good,4.7
SOCI-353,"Public Policy and Criminal Justice","4.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Karen Sternheimer",Sociology,good,4.0
SOCI-360m,"Social Inequality: Class, Status and Power","4.0 units",Lecture,8:00-9:20am,"Tue, Thu","Karen Sternheimer",Sociology,good,4.0
SOCI-620,"Advanced Methods--Qualitative Research","4.0 units",Lecture,9:30-12:20pm,Thursday,"Paul Lichterman",Sociology,good,4.0
SOWK-609,"Introduction to Social Work Practice with Children, Youth and Families","3.0 units",Lecture,4:00-5:15pm,Monday,"Lisa Kabot","Social Work",good,4.3
SOWK-621,"Social Work Practice with Adolescents, Young Adults and their Families . .","3.0 units",Lecture,4:00-5:15pm,Tuesday,"Sara Mcsweyn","Social Work",average,2.6
SOWK-627,"Policy and Macro Practice in Child, Youth and Family Services","3.0 units",Lecture,3:00-4:15pm,Tuesday,"Michal Sela-Amit","Social Work",good,3.7
SOWK-629,"Research and Evaluation for Community, Organization and Busi","3.0 units",Lecture,4:00-5:15pm,Tuesday,"Sara Schwartz","Social Work",good,4.8
SOWK-647,"Advanced Practice with Complex Social Work Cases","3.0 units",Lecture,4:00-5:15pm,Monday,"Jennifer Lewis","Social Work",good,4.0
SOWK-677,"Mental Health Practice with Children and Adolescents","3.0 units",Lecture,3:00-4:15pm,Thursday,"Lily Ross","Social Work",good,4.7
SOWK-696,"LGBT Psycho/Social/Political Issues","3.0 units",Lecture,1:00-2:15pm,Wednesday,"Erik Schott","Social Work",good,4.2
SOWK-720,"Communication and Influence for Social Good","3.0 units",Lecture,5:00-7:00pm,Monday,"Michael Rank","Social Work",good,5.0
SPAN-240,"Spanish IV","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Andrea Parra",Languages,good,4.4
SPAN-260,"Advanced Spanish: Arts and Sciences","4.0 units",Lecture,8:00-9:20am,"Tue, Thu","Lori Mesrobian","Spanish & Portuguese",good,4.6
SPAN-316x,"Spanish for the Professions","4.0 units",Lecture,12:00-12:50pm,MWF,"Consuelo Siguenza-Ortiz","Spanish & Portuguese",good,4.8
SSCI-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Laura Loyola",Geography,poor,2.2
SWMS-308,"Advanced Gender Theory","4.0 units",Lecture,5:00-6:20pm,"Mon, Wed","Sunyoung Park","East Asian Languages",average,3.5
SWMS-310,"Gender and Social Justice","4.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Lisa Schweitzer","Policy Planning & Development",average,3.5
THTR-115a,"Movement I","2.0 units",Lecture,8:00-9:50am,"Mon, Wed","Stephanie Shroyer",Theater,good,4.2
THTR-215a,"Movement II","2.0 units",Lecture,10:00-11:50am,"Mon, Wed","Stephanie Shroyer",Theater,good,4.2
THTR-220a,"Intermediate Acting I","2.0 units",Lecture,3:00-4:50pm,"Tue, Thu","Kenneth Mitchell",Theatre,good,5.0
THTR-315a,"Physical Theatre I","2.0 units",Lecture,3:00-4:50pm,"Mon, Wed","Zachary Steel",Theatre,good,4.6
THTR-352a,"Intermediate Acting II","2.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Mary Joan Negro",Theater,good,4.6
THTR-411,"The Business of Acting","2.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Dan Shaner",Theatre,average,3.0
THTR-427,"Audition Technique for Film, Television and New Media","2.0 units",Lecture,2:00-4:50pm,Friday,"Dan Shaner",Theatre,average,3.0
THTR-438,"Technical Theatre","3.0 units",Lecture,8:30-9:50am,"Mon, Wed","Duncan Mahoney",Theater,average,3.1
ACAD-181g,"Disruptive Innovation","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Phil More",NULL,NULL,NULL
ACAD-181g,"Disruptive Innovation","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Phil More",NULL,NULL,NULL
ACAD-245,"Product Design I","4.0 units",Lecture,6:00-8:50pm,"Tue, Thu","Safir Bellali Lisa Krohn",NULL,NULL,NULL
ACAD-315x,"Basics of Project and Operations Management for Non-Majors","2.0 units",Lecture,4:00-5:50pm,"Tue, Thu","Cosimo Arnesano",NULL,NULL,NULL
ACAD-376,"Discerning and Making I: Concept and Feasibility","4.0 units",Lecture,3:00-5:00pm,"Mon, Wed","Grant Delgatty Lisa Krohn",NULL,NULL,NULL
ACAD-404,"Advanced Front-End Web Development","4.0 units",Lecture,5:00-8:20pm,Tuesday,"David Tang","Information Science",good,4.8
ACAD-449,"Applications of Machine Learning","4.0 units",Lecture-Lab,2:00-3:50pm,"Mon, Wed","Reza Jafarkhani",NULL,NULL,NULL
ACAD-475a,"The Garage Experience","4.0-8.0 units",Lecture,12:00-2:50pm,"Mon, Wed","Phil More Stephen Child",NULL,NULL,NULL
ACCT-371,"Introduction to Accounting Systems","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Bob Kiddoo",NULL,NULL,NULL
ACCT-377,"Valuation for Financial Statement Purposes","2.0 units",Lecture,8:00-9:50am,"Mon, Wed","Tom Ryan",NULL,NULL,NULL
ACCT-474,"Tax Issues for Business","2.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Shiing-Wu Wang",Business,good,3.8
ACCT-528,"Fair Value Accounting: GAAP, IFRS and Emerging Issues","1.5 units",Lecture,2:00-3:20pm,"Tue, Thu","Tom Ryan",NULL,NULL,NULL
ACCT-529,"Tax Data Analytics","3.0 units",Lecture,8:00-9:20am,"Tue, Thu","Adam Uttley Shirley Maxey",NULL,NULL,NULL
ACCT-531t,"Taxation of Cross-Border Transactions Using Data Analytics","3.0 units",Lecture,3:30-4:50pm,"Mon, Wed","Charles Swenson Shiing-Wu Wang",NULL,NULL,NULL
ACCT-533,"Mergers and Acquisitions: Tax Planning and Strategy","1.5 units",Lecture,2:00-3:20pm,"Mon, Wed","Shiing-Wu Wang",Business,good,3.8
ACCT-541L,"Auditing in the Enhanced Data Age","3.0 units",Lecture,11:00-12:20pm,"Tue, Thu","John Owens",NULL,NULL,NULL
ACCT-548L,"IT Audit and Data Applications","3.0 units",Lecture,5:00-7:50pm,Wednesday,"Thomas Phelps",NULL,NULL,NULL
ACCT-550t,"Tax Research and Professional Responsibilities","3.0 units",Lecture,5:30-7:00pm,Wednesday,"Diane Comi",NULL,NULL,NULL
ACCT-551t,"Taxation of Partnerships and S-Corps","3.0 units",Lecture,5:00-7:50pm,Monday,"Michael Paranal",NULL,NULL,NULL
ACCT-554t,"Research, Theory and Ethics in Taxation","3.0 units",Lecture,9:30-12:20pm,"Tue, Thu","Patricia Mills Jack Barcal",NULL,NULL,NULL
ACCT-559,"Strategy and Operations Through CFO Lens","3.0 units",Lecture,8:00-9:20am,"Tue, Thu","John Owens",NULL,NULL,NULL
ACCT-560t,"Tax Theory and Ethics","3.0 units",Lecture,5:30-7:00pm,Monday,"Jack Barcal",NULL,NULL,NULL
ACCT-561t,"Income Tax of Corporations and Their Shareholders","3.0 units",Lecture,9:30-12:20pm,"Tue, Thu","Gregory Kling",NULL,NULL,NULL
ACCT-567t,"Taxation of Transactions in Property","3.0 units",Lecture,5:30-7:00pm,Wednesday,"Gregory Kling",NULL,NULL,NULL
ACCT-581,"Financial Statement Analysis","3.0 units",Lecture,11:00-12:20pm,"Mon, Wed","Tony Aaron",NULL,NULL,NULL
ACCT-611,"Selected Topics in Accounting Research","1.5 units, max 6",Lecture,8:30-9:50am,Friday,"Clive Lennox",NULL,NULL,NULL
ACCT-641,"Debt Contracting and Banking Research","1.5 units",Lecture,12:00-3:00pm,Thursday,"Regina Wittenberg Moerman",Accounting,good,4.8
ACCT-642,"Research on Disclosure and Information Intermediaries","1.5 units",Lecture,12:00-3:00pm,Thursday,"Regina Wittenberg Moerman",Accounting,good,4.8
ACMD-598,"Fieldwork: Designing Innovations for the Health Professions","1.0-3.0 units, max 3",Lecture,TBA,TBA,"Julie Nyquist",NULL,NULL,NULL
ADNT-703c,"Seminar: Combined Treatment Planning","2.0 units",Lecture,TBA,TBA,"Winston Chee",NULL,NULL,NULL
ADNT-703d,"Seminar: Combined Treatment Planning","2.0 units",Lecture,TBA,TBA,"Kian Kar Winston Chee",NULL,NULL,NULL
ADNT-703f,"Seminar: Combined Treatment Planning","2.0 units",Lecture,TBA,TBA,"Winston Chee",NULL,NULL,NULL
ADNT-703h,"Seminar: Combined Treatment Planning","2.0 units",Lecture,TBA,TBA,"Kian Kar Winston Chee",NULL,NULL,NULL
ADNT-704b,"Oral Biology","1.0-13.0 units",Lecture,TBA,TBA,"Terry Tanaka",NULL,NULL,NULL
AHIS-500,"Methods and Theory of Art History","4.0 units",Lecture,9:30-12:20pm,Thursday,"Amy Knight Powell",NULL,NULL,NULL
AHIS-593x,"Practicum in Teaching the Liberal Arts","2.0 units",Lecture,2:00-3:20pm,Thursday,"Ann Marie Yasin",NULL,NULL,NULL
AHIS-596,"Seminar on Advanced Writing and Professionalization in Art H","2.0 units",Lecture,3:30-4:50pm,Thursday,"Ann Marie Yasin",NULL,NULL,NULL
AME-309,"Dynamics of Fluids","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Ivan Bermejo-Moreno",NULL,NULL,NULL
AME-331,"Heat Transfer","3.0 units",Lecture,1:00-3:50pm,Friday,"Leslie King",NULL,NULL,NULL
AME-341a,"Mechoptronics Laboratory I and II","3.0 units",Lecture,8:00-8:50am,MWF,"Charles Radovich Akshay Potnuru",NULL,NULL,NULL
AME-410,"Engineering Design Theory and Methodology","3.0 units",Lecture,6:30-9:10pm,Wednesday,"James Humann",NULL,NULL,NULL
AME-415,"Turbine Design and Analysis","3.0 units",Lecture,5:00-7:40pm,Thursday,"Bogdan Marcu",NULL,NULL,NULL
AME-430,"Thermal Systems Design","3.0 units",Lecture,7:00-9:40pm,Monday,"Zuhair Ibrahim",NULL,NULL,NULL
AME-441aL,"Senior Projects Laboratory","3.0 units",Lecture,12:00-1:50pm,Monday,"Matthew Gilpin Yann Staelens",NULL,NULL,NULL
AME-451,"Linear Control Systems I","3.0 units",Lecture,5:00-6:20pm,"Mon, Wed","Henryk Flashner",NULL,NULL,NULL
AME-463L,"Introduction to Transport Processes in Porous Media","4.0 units",Lecture,3:30-6:10pm,Wednesday,"Kristian Jessen",NULL,NULL,NULL
AME-502,"Modern Topics in Aerospace Design","3.0 units",Lecture,1:00-3:00pm,Friday,"Jayanth Kudva",NULL,NULL,NULL
AME-509,"Applied Elasticity","4.0 units",Lecture,1:30-3:20pm,"Tue, Thu","Paul Plucinsky",NULL,NULL,NULL
AME-521,"Engineering Vibrations II","4.0 units",Lecture,5:00-6:50pm,"Mon, Wed","Bingen Yang",Engineering,average,3.2
AME-541,"Linear Control Systems II","4.0 units",Lecture,5:00-6:50pm,"Tue, Thu","Nestor Perez Arancibia",NULL,NULL,NULL
ANST-506,"Advanced Principles of Nurse Anesthesia Practice","4.0 units",Lecture,8:00-1:00pm,Tuesday,"Teresa Norris",NULL,NULL,NULL
ANST-603,"Anatomy and Advanced Health Assessment","4.0 units",Lecture,8:00-12:00pm,Thursday,"Michele Gold Elizabeth Bamgbose Nilu Patel",NULL,NULL,NULL
ANST-610,"Advanced Physiology for Nurse Anesthesia Practice","4.0 units",Lecture,12:00-5:00pm,Wednesday,"Elizabeth Bamgbose Mary Karlet Paula Belson",NULL,NULL,NULL
ANST-611,"Leadership and Collaborative Practice","3.0 units",Lecture,7:30-11:50am,Monday,"Jeffrey Darna",NULL,NULL,NULL
ANST-615,"Clinical Residency in Nurse Anesthesia II","2.0 units",Lecture-Lab,TBA,TBA,"Elizabeth Bamgbose Jeffrey Darna Erica McCall Jennifer Hogan",NULL,NULL,NULL
ANST-616,"Advanced Clinical Residency in Nurse Anesthesia I","2.0 units",Lecture-Lab,TBA,TBA,"Elizabeth Bamgbose",NULL,NULL,NULL
ANST-617,"Advanced Clinical Residency in Nurse Anesthesia II","2.0 units",Lecture-Lab,TBA,TBA,"Elizabeth Bamgbose",NULL,NULL,NULL
ANST-618,"Advanced Clinical Residency in Nurse Anesthesia III","2.0 units",Lecture-Lab,TBA,TBA,"Elizabeth Bamgbose Jeffrey Darna Erica McCall Jennifer Hogan",NULL,NULL,NULL
ANST-621b,"Clinical Synthesis II","1.0 unit",Lecture,12:30-4:00pm,Monday,"Jeffrey Darna",NULL,NULL,NULL
ANST-631,"Clinical Synthesis I","2.0 units",Lecture,12:30-4:30pm,Monday,"Elizabeth Bamgbose Tahira Smith-Aifesehi Regalado Valerio",NULL,NULL,NULL
ANST-694a,"Doctoral Capstone Project","2.0 units",Lecture,12:00-4:00pm,Friday,"Elizabeth Bamgbose",NULL,NULL,NULL
ANST-694b,"Doctoral Capstone Project","1.0 unit",Lecture,12:00-4:00pm,Friday,"Elizabeth Bamgbose",NULL,NULL,NULL
ANST-694c,"Doctoral Capstone Project","1.0 unit",Lecture,12:00-4:00pm,Friday,"Elizabeth Bamgbose",NULL,NULL,NULL
ANTH-410a,"Ethnographic Field Methods and Practicum","4.0 units",Lecture,4:00-6:50pm,Tuesday,"Reighan Gillam",NULL,NULL,NULL
ANTH-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Peter Redfield",NULL,NULL,NULL
ANTH-491,"Directed Research for Honors","4.0 units",Lecture,TBA,TBA,"Peter Redfield",NULL,NULL,NULL
ARAB-152,"Arabic II","4.0 units",Lecture,2:00-2:50pm,MTuWTh,"Sozan Wali","Arabic & Islamic Studies",average,3.1
ARAB-222,"Arabic III","4.0 units",Lecture,10:00-10:50am,MTuWTh,"Sozan Wali","Arabic & Islamic Studies",average,3.1
ARAB-322,"Advanced Arabic I","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Muhammad AlKhudair",NULL,NULL,NULL
ARAB-334,"Media Arabic","4.0 units",Lecture,11:00-11:50am,MTuWTh,"Sozan Wali","Arabic & Islamic Studies",average,3.1
ARCH-202aL,"Architectural Design II","6.0 units",Lecture-Lab,1:00-5:50pm,"Mon, Fri","Scott Uriu",NULL,NULL,NULL
ARCH-205aL,"Building Science I","4.0 units",Lecture-Lab,1:00-3:50pm,"Mon, Wed","Mina Chow",NULL,NULL,NULL
ARCH-302aL,"Architectural Design III","6.0 units",Lecture-Lab,1:00-5:50pm,"Mon, Fri","Sascha Delz",NULL,NULL,NULL
ARCH-314,"History of Architecture: Contemporary Issues","3.0 units",Lecture,10:00-11:50am,"Mon, Wed","Ginger Nolan",NULL,NULL,NULL
ARCH-403,"Principles of Spatial Design II","4.0 units",Lecture,9:00-12:20pm,Tuesday,"Takako Tajima",NULL,NULL,NULL
ARCH-414,"Perspectives in History and Theory in Architecture","2.0 units, max 6",Lecture,10:00-11:50am,Monday,"Faiza Moatasim",NULL,NULL,NULL
ARCH-420,"Visual Communication and Graphic Expression","3.0 units",Lecture-Lab,9:00-11:50am,Wednesday,"Gary Paige",NULL,NULL,NULL
ARCH-439,"Landscape Architecture Foundations Workshop","2.0 units",Lecture-Lab,TBA,TBA,"Takako Tajima",NULL,NULL,NULL
ARCH-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Doris Sung",NULL,NULL,NULL
ARCH-500aL,"Comprehensive Architectural Design","6.0 units",Lecture-Lab,1:00-5:50pm,"Mon, Fri","Roland Wahlroos-Ritter",NULL,NULL,NULL
ARCH-501,"Critical Topics in Architecture","2.0 units",Lecture-Lab,11:00-12:50pm,Friday,"Eric Haas",NULL,NULL,NULL
